"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","运动模块我的状态昨晚睡眠","","0","0","3","0","0"
"","社区测试内容","个人主页-动态tab下帖子删除功能测试","0","1","0","0","0"
"","运动模块测试内容","进行健走测试","0","0","1","0","0"
"","个人社区主页模块测试内容","个人主页-我的关注测试","0","0","1","0","0"
"","亲友模块测试内容","亲友-亲友详情页测试","0","0","1","0","0"
"","我的模块测试内容","提交意见反馈功能测试","0","0","1","0","0"
"","登录模块测试内容","手机号登录功能测试","0","0","1","0","0"
"","测试今日步数模块","今日步数-月统计分享页面测试","0","0","1","0","0"
"","我的收藏模块测试内容","我的收藏-课程tab下课程详情页测试","0","0","1","0","0"
"","个人社区主页模块测试内容","个人主页-我的粉丝测试","0","0","1","0","0"
"","个人社区主页模块测试内容","个人主页-我的日记本跳转功能测试","0","0","1","0","0"
"","个人社区主页模块测试内容","个人主页-更多勋章按钮跳转功能测试","0","0","1","0","0"
"","运动模块-我的状态测试","","0","1","5","0","0"
"","我的课程模块测试内容","我的课程-添加课程测试","0","0","1","0","0"
"","测试今日步数模块","今日步数-分享页面测试","0","0","1","0","0"
"","我的-个人信息页面测试内容","编辑个人简介功能测试","0","0","1","0","0"
"","我的-个人信息页面测试内容","修改性别功能测试","0","0","1","0","0"
"","社区测试内容","个人主页-动态tab下帖子评论功能测试","0","0","1","0","0"
"","我的模块测试内容","查看行为标注功能测试","0","0","1","0","0"
"","我的课程模块测试内容","我的课程-退出课程测试","0","0","1","0","0"
"","测试今日步数模块","今日步数-周统计页面测试","0","0","1","0","0"
"","我的课程模块测试内容","我的课程-课程详情页测试","0","0","1","0","0"
"","亲友模块测试内容","","0","1","1","0","0"
"","运动模块-我的运动页面测试","今日运动列表-今日运动跳转页面测试","0","0","1","0","0"
"","运动模块我的运动今日能量测试内容","我的运动今日能量跳转测试","0","0","1","0","0"
"","个人社区主页模块测试内容","个人主页-视频tab下帖子跳转功能测试","0","0","0","1","0"
"","运动模块-我的运动页面测试","今日运动列-今日跳转页面测试","0","0","1","0","0"
"","运动模块-我的运动页面测试","今日运动列表-运动距离和步数跳转页面测试","0","0","1","0","0"
"","运动模块测试内容","首页点击步数进入今日步数页面测试","0","0","1","0","0"
"","社区测试内容","个人主页-动态tab下帖子点赞测试","0","0","1","0","0"
"","测试参加训练课程模块","退出训练课程","0","0","1","0","0"
"","测试今日步数模块","今日步数-统计分享页面测试","0","0","1","0","0"
"","测试今日步数模块","今日步数-周统计页面分享测试","0","0","1","0","0"
"","个人社区主页模块测试内容","个人主页-动态tab下帖子跳转功能测试","0","0","1","0","0"
"","我的课程模块测试内容","我的课程-添加付费课程测试","0","0","1","0","0"
"","我的模块测试内容","查看第三方接入功能测试","0","0","1","0","0"
"","运动模块我的运动今日能量测试内容","我的能量周统计测试","0","0","1","0","0"
"","运动模块测试内容","进行室外跑测试","0","0","1","0","0"
"","测试今日步数模块","今日步数-月统计页面测试","0","0","1","0","0"
"","我的课程模块测试内容","我的课程-观看课程测试","0","0","1","0","0"
"","测试参加训练课程模块","判断是否已参加训练课程","0","0","1","0","0"
"","我的模块测试内容","健康周报功能测试","0","0","1","0","0"
"","运动模块-我的运动页面测试","今日运动列表-我的运动跳转页面测试","0","0","1","0","0"
"","测试参加训练课程模块","参加训练课程观看并退出观看","0","0","1","0","0"
"","社区测试内容","个人主页-动态tab下帖子跳转功能测试","0","0","1","0","0"
"","我的模块测试内容","设置步数功能测试","0","0","1","0","0"
"","运动模块-我的运动页面测试","今日运动列表-今日能量跳转页面测试","0","0","1","0","0"
"","覆盖安装测试","覆盖安装测试","0","0","1","0","0"
"","运动模块我的状态昨晚睡眠","昨晚睡眠-视图切换页面测试","0","0","1","0","0"
"","个人社区主页模块测试内容","个人主页-编辑资料按钮跳转功能测试","0","0","1","0","0"
"","我的-个人信息页面测试内容","修改昵称功能测试","0","0","3","0","0"
"","测试今日步数模块","今日步数-今日统计页面测试","0","0","1","0","0"
"","运动模块我的运动今日能量测试内容","我的能量月统计测试","0","0","1","0","0"
"","运动模块-我的运动页面测试","今日运动列表-列表展示页面测试","0","0","1","0","0"
"","我的收藏模块测试内容","我的收藏-帖子tab下帖子详情页测试","0","0","1","0","0"
"","我的模块测试内容","查看账号与安全功能测试","0","0","1","0","0"
"","我的模块测试内容","查看订单功能测试","0","0","1","0","0"
